make,model,year,categories
3EV,Vega4,2019,Electric
3EV,e30c,2019,Electric
Adam,Revo,2019,Electric
Aion,V,2019,Courier; Electric; Priority; Store Pickup; UberX; Women Drivers
Aiways,U5,2019,Comfort; Courier; Electric; Priority; Store Pickup; UberX; Women Drivers
Alfa Romeo,Stelvio,2019,Comfort; Courier; Priority; Store Pickup; UberX; Women Drivers
Alfa Romeo,Giulia,2019,Courier; Priority; Store Pickup; UberX; Women Drivers
Alfa Romeo,Giulietta,2019,Courier; Priority; Store Pickup; UberX; Women Drivers
Alfa Romeo,Tonale,2019,Courier; Priority; Store Pickup; UberX; Women Drivers
Audi,A6 Avant e-tron,2019,Black; Comfort; Courier; Electric; Priority; Store Pickup; UberX; Women Drivers
Audi,E-Tron GT,2019,Black; Comfort; Courier; Electric; Priority; Store Pickup; UberX; Women Drivers
Audi,Q4 Sportback e-tron,2019,Black; Comfort; Courier; Electric; Priority; Store Pickup; UberX; Women Drivers
Audi,Q4 e-tron,2019,Black; Comfort; Courier; Electric; Priority; Store Pickup; UberX; Women Drivers
Audi,Q6 e-tron,2019,Black; Comfort; Courier; Priority; Store Pickup; UberX; Women Drivers
Audi,Q8 e-tron,2019,Black; Comfort; Courier; Electric; Priority; Store Pickup; UberX; Women Drivers
Audi,e-tron,2019,Black; Comfort; Courier; Electric; Priority; Store Pickup; UberX; Women Drivers
Audi,e-tron Sportback,2019,Black; Comfort; Courier; Electric; Priority; Store Pickup; UberX; Women Drivers
Audi,A4,2019,Comfort; Courier; Priority; Store Pickup; UberX; Women Drivers
Audi,A4 Allroad,2019,Comfort; Courier; Priority; Store Pickup; UberX; Women Drivers
Audi,A4 Avant,2019,Comfort; Courier; Priority; Store Pickup; UberX; Women Drivers
Audi,A4 Avant G-tron,2019,Comfort; Courier; Priority; Store Pickup; UberX; Women Drivers
Audi,A4 Limousine,2019,Comfort; Courier; Priority; Store Pickup; UberX; Women Drivers
Audi,A5,2019,Comfort; Courier; Priority; Store Pickup; UberX; Women Drivers
Audi,A5 Avant,2019,Comfort; Courier; Priority; Store Pickup; UberX; Women Drivers
Audi,A5 Sportback,2019,Comfort; Courier; Priority; Store Pickup; UberX; Women Drivers
Audi,A6,2019,Comfort; Courier; Priority; Store Pickup; UberX; Women Drivers
Audi,A6 All Road Quattro,2019,Comfort; Courier; Priority; Store Pickup; UberX; Women Drivers
Audi,A6 Avant,2019,Comfort; Courier; Priority; Store Pickup; UberX; Women Drivers
Audi,A6 Hybrid,2019,Comfort; Courier; Priority; Store Pickup; UberX; Women Drivers
Audi,A7,2019,Comfort; Courier; Priority; Store Pickup; UberX; Women Drivers
Audi,A8,2019,Comfort; Courier; Priority; Store Pickup; UberX; Women Drivers
Audi,A8 L,2019,Comfort; Courier; Priority; Store Pickup; UberX; Women Drivers
Audi,Allroad,2019,Comfort; Courier; Priority; Store Pickup; UberX; Women Drivers
Audi,Q3 Hybrid,2019,Comfort; Courier; Priority; Store Pickup; UberX; Women Drivers
Audi,Q5,2019,Comfort; Courier; Priority; Store Pickup; UberX; Women Drivers
Audi,Q5 Hybrid,2019,Comfort; Courier; Priority; Store Pickup; UberX; Women Drivers
Audi,Q6,2019,Comfort; Courier; Electric; Priority; Store Pickup; UberX; Women Drivers
Audi,Q7,2019,Comfort; Courier; Priority; Store Pickup; UberX; Women Drivers
Audi,Q8,2019,Comfort; Courier; Priority; Store Pickup; UberX; Women Drivers
